seed_id,city,task_id,strategy,req_level,k,topk_overlap,capacity_regret,cap_strat,cap_oracle
1,City-B,T2,S4_GlobalCalib,2x,1,1.0,0.0,637.241290818012,637.241290818012
1,City-B,T2,S4_GlobalCalib,5x,3,0.3333333333333333,0.12242023733777108,1373.380880052931,1564.9641644955873
1,City-B,T2,S4_GlobalCalib,10x,5,0.6,0.06229248836277146,2291.6140616306147,2443.8473971798285
1,City-B,T3,S1_CapRR,1x,1,0.0,0.14036317686748545,499.2261762913071,580.7407999021356
1,City-B,T3,S1_CapRR,2x,1,0.0,0.14036317686748545,499.2261762913071,580.7407999021356
1,City-B,T3,S1_CapRR,5x,2,0.0,0.2510098991911207,849.1839218920363,1133.7718896083563
1,City-B,T3,S1_CapRR,10x,3,0.6666666666666666,0.14132475666727862,1402.215011598257,1632.9980658996635
1,City-B,T3,S4_GlobalCalib,1x,1,0.0,0.14036317686748545,499.2261762913071,580.7407999021356
1,City-B,T3,S4_GlobalCalib,2x,1,0.0,0.14036317686748545,499.2261762913071,580.7407999021356
1,City-B,T3,S4_GlobalCalib,5x,3,0.6666666666666666,0.14132475666727862,1402.215011598257,1632.9980658996635
1,City-B,T3,S4_GlobalCalib,10x,5,0.6,0.05999881061407375,2350.921426263363,2500.9770762089647
1,City-B,T4,S1_CapRR,1x,1,0.0,0.2916695147019195,443.4141680192603,625.9989894867538
